Kaze x Beruka
Laslow x Charlotte
Arthur x Setsuna
Jakob x Selena
Saizo x Oboro
Azama x Orochi
Hinata x Rinkah
Hayato x Kagero
Kaden x Felicia
Subaki x Nyx
Xander x Hinoka
Niles x Mozu
Benny x Peri
Silas x Azura
Odin x Elise
Leo x Sakura
Takumi x Hana
Keaton x Effie
Ryoma x Camilla
AvatarM x Ophelia
Shigure x KanaF
Shiro x Sophie
Siegbert x Caeldori
Forrest x Selkie
Kiragi x Soleil
Percy x Midori
Dwyer x Velouria
Ignatius x Nina
Hisame x Rhajat
Asugi x Mitama
2;6;Mage
4;8;0;16;11;14;9;3;9;13;15;0
4;3;7;1;8;10;13;7;6;4;2;15
6;2;1;3;7;6;12;4;11;2;10;12
6;7;4;17;10;13;6;13;14;5;0;1
5;1;16;6;2;0;10;2;7;4;1;8
0;6;9;1;5;2;7;7;6;5;2;1
5;8;5;9;6;1;11;4;7;17;14;10
8;2;17;8;2;6;9;1;2;7;8;4
5;1;0;0;0;0;5;8;6;5;1;15
7;5;8;2;17;6;16;8;9;4;2;11
6;6;9;8;5;0;7;9;8;4;2;5
2;4;8;5;9;3;10;11;8;4;10;3
5;5;15;8;11;3;2;8;6;3;10;15
7;5;13;7;2;8;5;6;9;3;0;1
6;0;17;9;7;3;6;0;8;2;4;1
5;5;17;6;15;3;10;17;10;9;8;1
8;5;17;13;6;2;5;11;12;6;4;16
2;2;9;7;4;6;2;13;9;7;4;17
5;6;12;8;7;0;17;10;9;8;12;0
4;8;11;5;3;0;2;11;10;8;7;24
6;0;24;11;10;0;2;23;24;9;8;5
9;9;23;11;10;3;0;24;12;10;6;5
7;8;18;11;10;7;0;12;5;4;8;6
3;1;22;16;13;1;8;13;10;6;4;3
11;8;22;8;2;7;6;17;2;6;22;18
10;7;0;12;24;5;10;17;12;7;8;0
7;2;15;22;6;0;3;20;7;16;4;12
8;7;11;7;5;22;2;25;24;23;12;6
8;11;24;23;19;13;10;15;23;10;7;2
3;9;13;11;10;9;21;11;9;3;6;2
